name,nn,nnr,ir,lr,mvr,spline
beta_94,0.3367767095855869,0.5136599651544336,0.5825349878443479,0.8370646766169154,0.6765578439362399,0.6908972122137033
beta_95,0.32239266322587784,0.5152589740059874,0.5844966821259763,0.9027777777777778,0.6678393336351185,0.6836731120190399
beta_96,0.13748242592875592,0.5100556543548047,0.5793987421090313,0.893491124260355,0.6709825422691912,0.656333254084393
beta_97,0.2535568700594877,0.512279865880932,0.5838845554102159,0.8767201834862386,0.6881643287842014,0.6621181943502956
beta_98,0.3377853166365041,0.5147166221026149,0.5866028452970589,0.9318181818181819,0.6727383232902038,0.6992437267029417
beta_99,0.3383792250122787,0.5131009081068515,0.5849477915406998,0.9460556844547564,0.6895776985709576,0.6892733069331975
logis_1,0.11981852607665572,0.4185585058421071,0.4745083469880209,0.7501046000790311,0.41732776700868784,0.4652232779517313
logis_10,0.11973940336725693,0.4173193893198548,0.47033851640267177,0.7500944491288779,0.4269090789370288,0.4622915121648357
logis_100,0.37737825411370185,0.5108800770024553,0.5739444877220321,0.7840909090909091,0.670299425707063,0.6719308160785877
logis_101,0.3816513517774614,0.5081560522151414,0.5691917997573075,0.7809653916211293,0.6614562789879572,0.6732016470665758
logis_102,0.24130101831751627,0.510678332038315,0.5783836017578448,0.7932489451476793,0.6882581333080993,0.6639964037717093
logis_103,0.3815385594561443,0.5097703560053708,0.5736760404921399,0.7835429769392034,0.6723068448997791,0.6523800722227989
logis_104,0.3770200579612047,0.5114355930653579,0.581846163918567,0.7952008928571429,0.681678968780026,0.6749302836676141
logis_105,0.3695941307602007,0.5087246334743388,0.5745337720425968,0.7826704545454546,0.6727480646839417,0.6772320509641105
logis_106,0.2747464840604593,0.5078357107129754,0.5731354040581698,0.7768817204301075,0.6646353640616738,0.6521479425509357
logis_107,0.38045662560551957,0.5065489957259686,0.5530136974119224,0.7889273356401384,0.6911791183569116,0.6379537264205185
logis_108,0.38126859947738445,0.5083991023016793,0.5699746848386945,0.7761682242990654,0.6642670582207315,0.6701495587430712
logis_109,0.3801266114655969,0.5103420624602852,0.5501520222469005,0.7859477124183006,0.667563587842492,0.651962335120367
logis_11,0.1261188525170985,0.41846897701540364,0.4702392668768946,0.7500612013831512,0.41887971894639736,0.46629247133142165
logis_110,0.38111604983169123,0.5076419361953652,0.5764634116466624,0.7767402376910018,0.6742973784185161,0.6530165781903876
logis_111,0.30443876142745707,0.5134968580904811,0.5636037070132272,0.8025974025974026,0.6778875983527881,0.6146205679194785
logis_112,0.379480314368866,0.5164638382524922,0.5803520606486454,0.8042813455657493,0.6742776968189609,0.6880882341402219
logis_113,0.3767810830741407,0.514625915713159,0.571118063249065,0.791782729805014,0.6955769908211247,0.6787618267005047
logis_114,0.3534814621157758,0.5078248035410764,0.5283800202611149,0.7801258992805755,0.6812164723930422,0.6495650834062563
logis_115,0.38086289367874104,0.5129096043354167,0.5394340471553914,0.806,0.6801162833954142,0.6106695755914762
logis_116,0.33171103284524095,0.5102661420557454,0.5958026367005408,0.78125,0.6886156147464069,0.6283818345649262
logis_117,0.3107766579489627,0.5056471231063286,0.5414307691531011,0.7748735244519392,0.6633225850172471,0.6268371076291199
logis_118,0.16882210997878128,0.5073887100073304,0.5483208544963958,0.7713248638838476,0.661631259145286,0.645559991100953
logis_119,0.38017051849211947,0.5081749689230126,0.5713015980447382,0.78515625,0.6710454829863403,0.6546163650131119
logis_12,0.12430510264174431,0.4166369065311486,0.4666317301256575,0.7501041552746835,0.42705367749974205,0.4636087936690394
logis_120,0.3450595014028003,0.5160294331123373,0.5844950123895267,0.8152173913043478,0.6943868986750603,0.6926588522267241
logis_13,0.12118229132365527,0.41803403925670896,0.4717895647569345,0.7500794448681504,0.4253358609950387,0.46462933450880045
logis_14,0.13146969064556907,0.4171769715443151,0.46818875768535795,0.7501113833815994,0.45080878431890054,0.4631517978773795
logis_15,0.11966930587808572,0.41759636848709136,0.46555298411643375,0.7500825393147789,0.42612791512764614,0.46329698877828895
logis_16,0.1199687118319334,0.4188496571901972,0.4700513449691103,0.7501101616982144,0.42284672976239734,0.46460064255483496
logis_17,0.11983488657106614,0.41762658503447003,0.4721926956473389,0.7500775531306975,0.4131902787627504,0.46322059851236075
logis_18,0.11982563604249148,0.4192834221840053,0.4710952540946628,0.7501148302453162,0.41338552665561396,0.46765003763126856
logis_19,0.12203905615203628,0.41628762287456933,0.466116744416468,0.7500825763831545,0.42681217958952095,0.4613342083240802
logis_2,0.11734652735562229,0.4143580974456011,0.4682485878558119,0.7500830173318765,0.42273004247638657,0.46026765839427125
logis_20,0.12254893515978847,0.41840571965152773,0.4668826685137013,0.7501084684860855,0.4160206732029319,0.4647704862779115
logis_21,0.2165144687032361,0.5067668602720156,0.5711959912106603,0.7751677852348994,0.6925428973093447,0.6648477301142167
logis_22,0.37549137951501654,0.5137282169275843,0.5794048933312494,0.7819843342036553,0.6609174798084694,0.6788861304446963
logis_23,0.3739817831068838,0.5101377115608297,0.5779200202221261,0.7847082494969819,0.670666912737169,0.6853243314257688
logis_24,0.3799736169785737,0.5062926145587594,0.5678479969100032,0.7825542570951586,0.6647954143414612,0.667971871453079
logis_25,0.3799308783155884,0.5132657887425038,0.5793201194678023,0.7894088669950738,0.6729834499090024,0.6797677169525012
logis_26,0.37486323172869174,0.5137685371519781,0.5836064345091576,0.792713567839196,0.6911104957558013,0.6793240061443058
logis_27,0.37125375787936,0.5074631223717985,0.5756697294112751,0.7826460481099656,0.6917950788253012,0.6690240765715378
logis_28,0.23329406234089511,0.5069871816957903,0.5720224631428052,0.7891822827938672,0.6944454863412892,0.6568972819669112
logis_29,0.3430770716523345,0.5114067790075145,0.5768012006708216,0.7974040632054176,0.6816656854895125,0.621254921301406
logis_3,0.11962840411455608,0.4176353721789843,0.46934645191060664,0.7500829280634189,0.428551238976893,0.46577984154749297
logis_30,0.3796760598579516,0.5164656302930388,0.5847437130193608,0.7872340425531915,0.6726879962919168,0.6691923165803298
logis_31,0.3796368344837144,0.5179883181829854,0.5904116184978234,0.8110749185667753,0.6755725639623184,0.7004592831225147
logis_32,0.370134054827563,0.510606605443807,0.5738240761404534,0.7996894409937888,0.6722102779206802,0.6669646745434124
logis_33,0.3795517783396467,0.50662555066317,0.5715880801739983,0.7779232111692844,0.6811438433719402,0.6590080402005807
logis_34,0.30504323882170326,0.5078240429567105,0.5722101553804724,0.7805851063829787,0.6533549942347489,0.673568679017218
