name,training_time,size,execution_time,10-off_precision,15-off_precision,20-off_precision
mvr_beta_2,2.691115085999968,376,0.00018912399997361717,0.17690027412397202,0.2734333496249389,0.3638517605558979
lr_beta_20,0.09921960999997737,96,3.565100001878818e-05,0.0008918485046673405,0.001189131339556454,0.0018015339794280277
spline_beta_20,0.43035113100000894,11438832,0.00011630599999534752,1.0,1.0,1.0
nnr_beta_20,22.777084125999973,2021928,0.0007688850000135972,1.0,1.0,1.0
ir_beta_20,0.5526168270000085,8076784,0.00011377799995671012,1.0,1.0,1.0
mvr_beta_20,2.0141972019999907,344,0.00016965499997922961,0.1237469528509424,0.19315060348415483,0.2613353944943219
lr_beta_21,0.0043051009999999215,96,3.1352000007700553e-05,0.5245202558635395,0.8038379530916845,0.9466950959488273
spline_beta_21,0.0014290500000129216,33808,3.86840000032862e-05,1.0,1.0,1.0
nnr_beta_21,0.00045359400002098477,9280,0.0006730590000074699,1.0,1.0,1.0
ir_beta_21,0.004417362000026515,26176,7.332400002724171e-05,1.0,1.0,1.0
mvr_beta_21,0.018082843000001958,320,0.00014765800000304807,1.0,1.0,1.0
lr_beta_22,0.004636574000016935,96,3.1352000007700553e-05,0.460573476702509,0.6523297491039427,0.8942652329749103
spline_beta_22,0.0014432090000013884,39856,3.539800002272386e-05,1.0,1.0,1.0
nnr_beta_22,0.0005339969999909044,10344,0.0006801389999964158,1.0,1.0,1.0
ir_beta_22,0.0042527640000002975,30448,7.231200004298444e-05,1.0,1.0,1.0
mvr_beta_22,0.019043381000017238,400,0.00019266300000708725,1.0,1.0,1.0
lr_beta_23,0.00438778000000184,96,3.1352000007700553e-05,0.4376278118609407,0.7055214723926381,0.9386503067484663
spline_beta_23,0.001300102000016068,35168,3.6662000013620855e-05,1.0,1.0,1.0
nnr_beta_23,0.00044727300002023196,9520,0.0006798860000003515,1.0,1.0,1.0
ir_beta_23,0.004114208000032704,27136,7.180599999401238e-05,1.0,1.0,1.0
mvr_beta_23,0.01948863199999096,376,0.0001815389999819672,0.9959100204498977,1.0,1.0
lr_beta_24,0.004330638999988422,96,3.1351999950857135e-05,0.6128266033254157,0.8432304038004751,0.9263657957244655
spline_beta_24,0.0012318349999986822,30544,3.590299996858448e-05,1.0,1.0,1.0
nnr_beta_24,0.0004862110000090069,8704,0.0006841840000220145,1.0,1.0,1.0
ir_beta_24,0.004172360000040953,23872,7.433400003264978e-05,1.0,1.0,1.0
mvr_beta_24,0.01760269999999764,376,0.0001731950000021243,1.0,1.0,1.0
lr_beta_25,0.004451243000005435,96,3.185799999982919e-05,0.813953488372093,0.938953488372093,0.9563953488372093
spline_beta_25,0.0010014979999937168,25304,3.539800002272386e-05,1.0,1.0,1.0
nnr_beta_25,0.0003936719999728666,7776,0.0007253970000533627,1.0,1.0,1.0
ir_beta_25,0.00393469099998356,20176,7.155399998737266e-05,1.0,1.0,1.0
mvr_beta_25,0.016367578999961552,288,0.00013981999995849037,1.0,1.0,1.0
lr_beta_26,0.0046350580000193995,96,3.160500000376487e-05,0.5182481751824818,0.8418491484184915,0.9318734793187348
spline_beta_26,0.0011792440000135687,29864,4.272999996146609e-05,1.0,1.0,1.0
nnr_beta_26,0.0004045439999913469,8584,0.0006733119999466908,1.0,1.0,1.0
ir_beta_26,0.004284116000007998,23392,7.4839999967935e-05,1.0,1.0,1.0
mvr_beta_26,0.01883327199999485,352,0.000166621000005307,1.0,1.0,1.0
lr_beta_27,0.004543782999974154,96,3.1099000011636235e-05,0.6077922077922078,0.8675324675324675,0.9532467532467532
spline_beta_27,0.001155476999997518,28096,3.61559999646488e-05,1.0,1.0,1.0
nnr_beta_27,0.0003744560000313868,8272,0.0006915160000176002,1.0,1.0,1.0
ir_beta_27,0.003966043000048103,22144,7.686300000386836e-05,1.0,1.0,1.0
mvr_beta_27,0.0165913419999697,288,0.0001375439999833361,0.9922077922077922,1.0,1.0
lr_beta_28,0.004503580999994483,96,3.1099000011636235e-05,0.8586387434554974,0.9633507853403142,0.9712041884816754
spline_beta_28,0.0010887270000239366,27888,3.6409000017556536e-05,1.0,1.0,1.0
nnr_beta_28,0.0003719270000033248,8232,0.0007529570000315289,1.0,1.0,1.0
ir_beta_28,0.003895248999981504,22000,7.155399998737266e-05,1.0,1.0,1.0
mvr_beta_28,0.01848890299999084,384,0.0001812859999859029,1.0,1.0,1.0
lr_beta_29,0.004363001999990956,88,3.059299996266418e-05,0.3619402985074627,0.5373134328358209,0.7350746268656716
spline_beta_29,0.0014196949999814026,38360,3.691500000968517e-05,1.0,1.0,1.0
nnr_beta_29,0.0004965780000247833,10080,0.0006748289999904955,1.0,1.0,1.0
